Tonga,Gloss,Tone,C1,C2,maxf0,minf0,meanf0,diff.f0,intensity,duration,C1.class,C2.class
ku-kolwa,get drunk,H,k,lw,181.5635312,165.294831,170.7063974,18.0765339,74.61104898,64.4913034,voiceless obstruents,sonorant wth glide
ku-land-a,go astray,H,l,nd,155.0122439,150.9088236,152.216875,-2.7718881,76.10047835,85.77308166,sonorants,prenasalized voiced stops
ku-mbwt-a,miss,H,mbw,t,176.6108345,171.5489237,174.0735589,11.3557858,69.94585939,40.93935974,prenasalized voiced stop wth glide,voiceless obstruents
ku-tap-a,take extra cards,H,t,p,164.9349177,157.0795886,159.8807988,15.3445463,77.06452194,82.26924321,voiceless obstruents,voiceless obstruents
ku-wek-a,elude danger,H,w,k,161.2516288,155.866631,159.1492596,8.2785873,73.5678994,87.32066964,sonorants,voiceless obstruents
ku-mbat-a,stick on,L,mb,t,178.1476245,169.2170143,173.0038913,13.0676803,78.61089206,56.69023277,prenasalized voiced stops,voiceless obstruents
ku-muk-a,answr,L,m,k,170.3790383,163.6633516,167.6614606,14.1960856,68.75821285,48.95426828,sonorants,voiceless obstruents
ku-nang-a,destroy,L,n,ng,164.7102191,152.9019262,157.7916983,6.6922426,71.72551401,72.63184582,sonorants,prenasalized voiced stops
ku-ndond-a,go in line,L,nd,nd,182.114043,169.9806357,175.688677,13.4464719,71.09254753,75.79892868,prenasalized voiced stops,prenasalized voiced stops
ku-ngat-a,hook,L,ng,t,187.3007858,161.6871188,171.0862165,15.0198912,78.10835472,67.948514,prenasalized voiced stops,voiceless obstruents
ku-nol-a,sharpen by grinding,L,n,l,169.9323761,156.5504007,161.8573753,12.0571592,70.3362755,73.94571836,sonorants,sonorants
ku-pum-a,beat,L,p,m,167.631219,164.8915924,166.1985449,23.5144572,66.8150932,49.09140479,voiceless obstruents,sonorants
ku-tap-a,take from,L,t,p,181.9490493,174.4964742,178.5384119,33.9860671,77.0866096,76.46226445,voiceless obstruents,voiceless obstruents
ku-temb-a,curse,L,t,mb,175.2649624,170.4591359,172.7474257,28.4656654,71.02539525,64.47765045,voiceless obstruents,prenasalized voiced stops
ku-biy-a,cheat,H,b,y,150.5322295,131.4175397,140.3763756,-16.9983602,67.33361658,55.93801393,voiced obstruents,sonorants
ku-dik-a,cover self,H,d,k,145.0655696,135.3374025,141.6235521,-8.4142842,67.15686889,55.74590552,voiced obstruents,voiceless obstruents
ku-dum-a,attack,H,d,m,147.1782998,134.2956052,142.9113903,-9.7370374,65.24208684,66.60590544,voiced obstruents,sonorants
ku-gand-a,mark enemy,H,g,nd,144.1618066,138.3959686,140.6110676,-4.9350764,73.29657869,79.13867453,voiced obstruents,prenasalized voiced stops
